N,P,K,temperature,humidity,ph,rainfall,label
22,18,33,30.41236,52.48101,6.621624,93.92376,mango
4,40,26,27.58259,48.56916,6.720042,95.84456,mango
12,31,26,35.78777,51.9419,5.395276,100.2161,mango
26,24,34,31.27181,52.2381,6.811291,89.74409,mango
11,36,33,35.9901,52.2278,5.978634,95.37135,mango
21,31,32,35.38599,51.42664,5.254532,90.29644,mango
22,38,31,31.53356,53.06009,5.821106,98.57025,mango
4,20,25,28.9327,47.94054,5.664587,99.98342,mango
31,20,30,32.17752,54.01353,6.207496,91.88766,mango
5,32,33,32.32362,52.58968,5.842764,93.36719,mango
34,16,25,30.07203,50.96041,6.107296,92.0961,mango
26,32,32,30.91471,49.92964,6.810186,90.14048,mango
40,16,35,31.89356,49.0245,6.484152,89.59371,mango
2,38,33,32.38698,53.23282,4.691396,90.21633,mango
28,27,34,32.45465,50.69694,6.526654,95.04872,mango
35,18,26,31.9949,50.84881,5.279389,97.38741,mango
37,36,27,27.55297,47.90859,5.910635,90.40333,mango
26,18,30,32.06097,51.08494,6.336235,96.59816,mango
33,31,34,31.32996,50.22288,5.421265,89.78216,mango
19,55,20,27.43329,87.80508,7.185301,54.73368,mungbean
9,35,20,27.41503,80.98005,6.913809,40.53173,mungbean
11,46,24,27.6528,89.80651,6.459252,56.52558,mungbean
13,47,20,29.2178,87.93724,6.544502,43.13866,mungbean
20,41,20,29.27309,89.4875,7.073048,50.92466,mungbean
21,51,15,29.36488,89.1887,6.679127,48.30159,mungbean
6,48,24,28.63628,84.61431,6.790736,48.48319,mungbean
1,48,24,29.34595,85.60473,6.232837,59.0363,mungbean
22,56,17,29.87888,87.32761,6.89078,44.75216,mungbean
24,44,17,29.85969,80.035,6.666381,50.66488,mungbean
35,48,15,27.10818,87.45127,6.981758,55.03724,mungbean
33,37,19,27.92679,86.55432,7.18319,43.48262,mungbean
30,37,25,29.89129,80.14487,7.120032,54.79601,mungbean
37,49,25,29.91454,85.85384,6.41546,41.39082,mungbean
31,53,16,28.74201,85.81676,6.452006,48.54599,mungbean
37,50,23,29.65297,88.48587,6.530471,56.01913,mungbean
28,46,16,29.00812,84.96089,6.664188,45.91011,mungbean
10,37,22,28.72753,89.1276,7.069748,58.52974,mungbean
19,53,22,27.86401,80.45131,6.852885,42.83054,mungbean
10,56,16,28.17433,81.04555,6.828187,36.35721,mungbean
9,48,22,27.77076,87.0998,6.402926,49.50813,mungbean
31,51,25,27.53593,85.57019,7.196774,53.01899,mungbean
4,40,21,28.79728,80.45744,6.725551,44.30071,mungbean
17,58,20,28.06643,85.91625,6.429379,39.23831,mungbean
36,55,20,27.0147,84.34263,6.635969,55.29635,mungbean
24,53,17,28.95451,89.07866,6.421271,57.65901,mungbean
30,44,16,29.73013,82.89166,6.442336,50.91511,mungbean
40,58,15,29.46416,87.6089,6.9784,43.15411,mungbean
21,38,21,29.75539,86.45193,6.637677,37.54603,mungbean
27,56,20,29.21142,87.11498,6.418743,51.53848,mungbean
31,37,21,27.23925,86.40424,6.713411,37.31237,mungbean
35,41,18,28.70563,81.59201,6.705009,59.87065,mungbean
13,57,25,28.30041,86.20682,6.863086,50.47334,mungbean
32,56,21,27.38539,88.66664,6.702772,58.29933,mungbean
6,47,18,29.16175,80.28038,6.715277,40.16546,mungbean
22,37,20,27.62749,86.49367,6.605733,39.26138,mungbean
31,58,15,27.11026,84.96772,7.121571,51.52617,mungbean
8,50,21,28.62911,89.11481,6.218924,50.49913,mungbean
23,45,23,28.77654,86.69134,6.98313,56.12443,mungbean
2,47,15,29.8686,85.99128,6.401456,58.41394,mungbean
36,38,15,28.36364,87.59811,6.320662,57.99524,mungbean
4,41,20,28.14721,83.80015,6.647966,37.448,mungbean
10,59,15,29.8304,89.30428,6.324005,58.86687,mungbean
14,41,17,29.1294,88.48313,7.085982,36.45013,mungbean
28,35,22,29.53038,86.73346,7.156563,59.87232,mungbean
1,59,23,27.46853,87.17649,7.184399,43.78421,mungbean
34,60,25,29.78417,85.16907,6.793856,40.77873,mungbean
20,45,17,28.17459,83.69659,6.770955,37.24647,mungbean
40,51,17,28.66086,86.12195,6.860603,50.01534,mungbean
24,42,23,28.22471,82.35916,6.428054,44.01207,mungbean
7,60,25,28.27532,82.76021,6.397637,56.04995,mungbean
8,54,20,28.33404,80.77276,7.034214,38.79764,mungbean
22,54,20,28.5615,83.63802,6.689825,41.01313,mungbean
23,39,22,29.25649,81.97952,6.864839,42.02483,mungbean
33,57,17,27.89636,88.71782,6.784153,57.79863,mungbean
33,60,15,28.95172,81.67085,6.510841,56.51103,mungbean
4,44,19,27.9564,83.52706,6.921994,43.25727,mungbean
14,37,15,27.96236,83.97587,6.581351,48.9367,mungbean
29,36,25,28.28512,88.4394,7.130279,48.5669,mungbean
6,37,17,28.08657,80.35006,6.760694,38.14477,mungbean
28,45,23,29.65021,80.29868,6.489259,56.76278,mungbean
0,49,18,29.68362,87.93598,6.990095,41.8249,mungbean
36,43,22,27.82684,87.16679,6.389882,58.3725,mungbean
23,59,25,27.82626,88.731,6.320768,56.68834,mungbean
31,48,17,28.88079,86.94207,6.594739,53.79733,mungbean
5,45,21,28.36291,88.00989,6.487124,43.0513,mungbean
29,45,16,28.43683,87.91333,6.583382,43.12063,mungbean
8,45,18,27.93035,85.42059,7.011031,43.25096,mungbean
34,59,23,28.56212,83.24856,6.935804,56.48265,mungbean
25,48,21,28.4381,83.48991,6.267684,52.5547,mungbean
14,57,15,29.8757,83.14796,6.623438,40.12044,mungbean
4,59,25,27.68515,81.94269,6.227134,54.62243,mungbean
9,48,20,29.66462,84.28188,6.377569,56.09542,mungbean
2,39,15,28.0722,82.91165,6.478557,49.61865,mungbean
34,45,21,28.18837,82.6063,6.28738,37.0111,mungbean
32,57,22,28.68999,87.50437,6.769416,44.56598,mungbean
4,36,22,27.60887,86.13316,7.01274,43.80041,mungbean
35,52,19,27.10607,89.89593,6.698574,37.45681,mungbean
25,59,19,29.06631,83.68692,6.62663,43.95184,mungbean
14,48,21,29.24599,84.80084,6.991242,53.43229,mungbean
89,47,38,25.52469,72.24851,6.002525,151.887,jute
100,35,36,25.31042,72.01364,6.346715,190.5578,jute
89,41,38,23.12844,74.68323,6.344752,199.8363,jute
89,40,43,26.24532,72.97198,7.12405,189.9711,jute
77,52,41,23.89069,83.46409,6.097294,167.7231,jute
91,38,36,26.5233,77.17332,7.287319,157.8549,jute
82,46,41,23.32501,79.79609,6.581694,187.3096,jute
71,56,37,23.18867,86.209,6.491506,176.1037,jute
64,53,38,26.24347,78.51064,6.855363,183.4065,jute
77,55,43,25.49942,75.99988,6.663559,193.7142,jute
63,41,45,25.29782,86.88705,7.121934,196.625,jute
79,45,43,25.71901,79.15532,7.171054,187.1735,jute
80,52,39,26.41915,76.85691,7.165697,197.2102,jute
70,38,35,24.39736,79.26862,7.014064,164.2697,jute
76,54,45,24.29497,77.62976,6.176619,184.9801,jute
60,55,40,24.995,88.95693,7.02778,151.4936,jute
61,41,44,24.36972,82.1132,6.537915,159.9211,jute
100,56,40,26.38905,83.3124,7.433313,176.1516,jute
74,46,45,25.75735,88.36669,6.025029,189.4263,jute
95,57,41,23.24926,73.65347,6.434611,184.7675,jute
89,52,45,24.89326,77.01223,7.207457,196.47,jute
75,56,44,25.27463,73.74596,6.109478,168.0432,jute
81,36,38,23.76555,87.9833,6.334838,150.3166,jute
84,38,43,26.57422,73.81995,7.261581,159.3223,jute
84,40,43,25.01158,88.3313,7.228268,169.4168,jute
60,58,37,26.13872,79.11889,6.067302,171.4893,jute
90,50,44,26.91644,73.48656,6.253409,171.4716,jute
76,44,45,25.48797,84.48236,6.740948,168.7849,jute
72,41,36,24.09874,80.57227,6.187747,176.8604,jute
99,57,38,24.80625,82.09282,6.356296,156.3616,jute
80,45,42,23.14265,74.9974,7.380396,151.9035,jute
87,48,38,23.8158,80.94024,7.161866,190.3122,jute
89,53,44,24.88693,71.91712,7.319735,150.2499,jute
62,56,35,25.97826,81.6577,6.235358,163.3488,jute
72,51,40,23.20684,74.09957,7.422318,199.4767,jute
90,59,35,24.25133,89.86454,7.098228,175.1742,jute
100,58,41,23.17403,87.88255,6.65877,160.6217,jute
60,55,36,26.12797,80.49173,7.132389,150.6327,jute
89,58,35,23.98652,82.09053,6.096839,167.0576,jute
66,58,35,23.56438,79.46283,7.321619,185.2595,jute
66,47,36,24.85441,74.4407,6.572561,175.573,jute
67,55,44,26.28402,75.1464,7.251847,182.2685,jute
86,40,39,25.72101,88.16514,6.20746,175.6087,jute
78,50,43,25.12418,85.72531,6.348441,159.5718,jute
90,39,37,24.81441,81.68689,6.861069,190.7886,jute
80,43,43,23.78756,74.36794,6.014572,172.6443,jute
75,36,44,23.28081,74.27607,6.613341,153.7447,jute
88,52,39,23.92888,88.07112,6.880205,154.6609,jute
62,59,41,24.22488,74.89465,7.175171,192.4931,jute
81,56,36,23.39606,72.60513,7.097586,174.7876,jute
82,48,36,25.79352,81.76904,6.352077,193.2418,jute
86,39,43,26.14577,71.23691,6.432052,193.1008,jute
60,37,39,26.59105,82.94164,6.033485,161.247,jute
82,40,45,26.21313,81.70476,6.667633,180.1238,jute
90,40,39,25.72669,81.86172,6.626504,191.9649,jute
72,41,36,26.50839,86.84264,6.065898,152.9802,jute
78,46,42,23.095,78.4596,7.095413,155.3852,jute
82,35,44,26.96656,78.21048,6.239011,169.8391,jute
70,42,43,23.16815,76.66725,6.508343,157.1215,jute
82,35,35,25.49387,86.97061,7.299076,176.5268,jute
72,42,43,26.56767,80.90425,6.352771,181.2916,jute
69,57,35,24.30749,78.54341,6.186814,186.2338,jute
84,40,42,26.28306,73.35764,6.704274,186.6898,jute
67,41,40,25.8488,87.81662,7.333143,152.6194,jute
67,60,38,24.79853,78.53037,7.162143,162.2847,jute
65,54,39,23.75092,71.14783,7.124572,160.089,jute
61,41,35,24.97179,79.47558,6.842966,195.7572,jute
71,54,35,26.63952,70.95706,7.311077,199.3356,jute
90,39,43,24.44744,82.28648,6.769346,190.9685,jute
76,56,39,24.39459,89.89107,6.55113,197.122,jute
89,57,43,26.91515,73.19898,6.998787,177.2233,jute
70,43,40,24.35564,88.80391,6.17686,169.1168,jute
87,44,43,23.87484,86.79261,6.718725,177.5147,jute
90,48,45,24.06476,71.31343,6.509175,153.639,jute
89,52,42,23.09434,81.45139,6.141329,196.6587,jute
77,48,36,25.86705,84.09985,7.360085,154.8391,jute
65,39,45,23.66805,70.89001,6.768001,184.4633,jute
74,49,38,23.3141,71.45091,7.488014,164.497,jute
93,43,38,23.61475,86.1429,6.987333,150.2355,jute
94,37,41,24.76345,87.06071,6.463539,179.1631,jute
32,76,15,28.05154,63.49802,7.60411,43.35795,lentil
38,60,20,29.84823,60.63873,7.491217,46.80453,lentil
0,74,17,23.33376,64.50516,7.240988,47.01511,lentil
10,78,18,18.54142,62.70638,6.296977,44.0782,lentil
6,72,15,22.99452,66.70897,7.670178,54.49044,lentil
11,74,17,21.36384,69.92376,6.633865,46.63529,lentil
28,67,21,21.79793,63.73086,6.250994,46.6237,lentil
31,60,24,25.40474,65.85675,7.722336,51.92057,lentil
10,75,17,18.43966,68.05395,7.732195,39.00992,lentil
28,70,21,25.39038,60.49897,7.437374,39.18375,lentil
12,67,23,25.62896,63.1491,6.58502,45.49684,lentil
5,65,19,18.28072,68.10365,6.978362,48.80253,lentil
27,80,24,28.42063,61.77336,7.815211,49.02367,lentil
33,77,15,23.89736,66.32102,7.802212,40.74537,lentil
6,68,18,24.38872,62.50453,6.711341,47.26052,lentil
14,59,22,23.82724,67.89815,6.766607,46.90725,lentil
19,79,19,20.06004,67.76253,6.677263,42.89509,lentil
13,64,20,19.13458,62.57527,6.590571,36.46947,lentil
36,65,16,25.7127,64.11233,7.692014,50.17068,lentil
30,79,22,18.28766,69.48515,6.254217,48.60449,lentil
19,72,15,28.83601,69.76113,6.89076,44.08563,lentil
3,69,23,28.67409,63.18833,7.299361,42.96019,lentil
26,56,22,23.05276,60.42479,7.011121,52.60285,lentil
37,71,16,26.28664,68.51967,7.324863,46.13833,lentil
14,69,19,20.95628,63.68129,7.239455,52.39881,lentil
2,75,22,23.89272,61.78779,6.658605,52.5573,lentil
7,73,25,27.52186,63.13215,7.288057,45.20841,lentil
13,74,25,24.12193,61.09534,6.461619,44.23629,lentil
10,79,20,24.98287,66.89541,6.379881,38.21371,lentil
38,77,22,28.23483,69.316,6.313284,35.36831,lentil
7,63,24,19.55751,64.45268,6.818681,53.04669,lentil
16,65,16,18.13028,62.45852,6.078724,50.61285,lentil
14,76,20,29.05941,62.10652,7.042475,36.50114,lentil
40,79,17,21.12696,63.18739,6.403684,38.71834,lentil
22,55,16,23.79372,68.03209,6.516318,49.73922,lentil
3,78,18,20.21368,68.65258,6.88713,50.89733,lentil
24,61,17,22.63714,65.44545,6.233269,38.30411,lentil
13,61,22,19.44084,63.27771,7.728832,46.8313,lentil
0,69,21,25.86928,61.88321,7.072923,36.68284,lentil
6,77,20,25.78746,60.28163,6.058306,49.14337,lentil
13,61,24,18.29784,69.68976,7.62991,49.39111,lentil
31,58,15,28.31887,60.19461,6.167855,45.36521,lentil
6,59,21,26.58973,66.14008,6.139216,50.90994,lentil
12,66,20,27.41435,63.41786,7.336117,44.43178,lentil
32,79,22,27.60195,63.46171,5.916454,54.37814,lentil
4,80,16,29.19586,68.01966,7.441977,44.93262,lentil
22,68,16,27.70497,63.20915,7.746724,37.46161,lentil
40,61,22,20.94982,65.81088,7.002216,44.23913,lentil
32,78,22,23.97081,62.35558,7.007038,53.40906,lentil
22,67,22,29.03018,64.49167,7.475927,54.93938,lentil
28,58,25,27.48186,62.04815,6.86164,37.81124,lentil
23,75,17,24.87426,64.00214,7.198076,48.28137,lentil
34,65,19,23.43975,63.22012,5.942392,45.40277,lentil
9,60,21,29.94414,67.31323,7.52178,40.37114,lentil
26,68,24,28.0485,64.07692,7.504931,37.15825,lentil
22,60,18,19.59221,61.28633,6.74398,41.77049,lentil
0,67,22,29.82112,69.40732,6.593798,51.56461,lentil
32,56,18,20.04677,65.84395,7.135252,46.05333,lentil
14,74,15,27.9999,65.57653,6.493037,49.94043,lentil
18,57,21,27.3766,63.93928,6.155916,49.47372,lentil
39,70,15,20.76775,63.90164,6.366356,47.92716,lentil
29,71,18,22.175,62.13874,6.410441,53.46623,lentil
2,79,15,21.53578,65.47228,7.505284,35.75108,lentil
1,67,21,27.52135,60.53658,6.551578,48.06491,lentil
33,59,19,23.19305,62.74711,7.641024,49.55213,lentil
4,61,21,24.84064,60.09117,6.750205,48.7779,lentil
10,70,19,24.84918,68.98088,7.272428,41.61081,lentil
16,65,19,27.61205,69.29786,7.04316,42.72374,lentil
28,69,16,29.77013,66.29327,6.547362,35.69674,lentil
17,74,17,26.03027,69.55863,7.393211,37.11396,lentil
28,79,16,24.70626,60.26854,6.052185,53.12443,lentil
27,61,15,25.26533,67.10005,6.958055,48.33941,lentil
36,67,20,20.39078,60.47529,6.924042,53.31509,lentil
39,65,23,25.4346,69.12613,7.685959,41.02683,lentil
2,78,23,21.31852,66.43935,7.320515,45.42617,lentil
3,63,16,24.38042,61.18458,6.868882,53.13947,lentil
9,77,17,21.65846,63.58337,6.280726,38.07659,lentil
14,67,25,25.28711,60.85994,7.241152,49.3737,lentil
12,71,19,24.9108,60.71367,7.142611,42.1974,lentil
8,58,17,28.75273,69.1564,7.28605,35.15426,lentil
71,54,16,22.6136,63.69071,5.749914,87.75954,maize
87,60,23,20.27317,63.91282,6.439072,62.50352,maize
76,44,17,20.41683,62.55425,5.855442,65.27798,maize
61,44,17,26.10018,71.57477,6.931757,102.2662,maize
90,52,25,25.97482,69.36386,6.822587,103.2234,maize
60,38,17,18.41933,64.2358,6.474477,76.41312,maize
60,44,23,24.79471,70.04557,5.72258,76.7286,maize
98,44,21,25.77175,74.08911,6.524478,107.4932,maize
64,35,23,23.02038,61.89472,5.680361,63.03843,maize
74,55,19,18.05034,62.89367,6.288868,84.23613,maize
67,35,22,23.30547,63.24648,6.385684,108.7603,maize
76,57,18,18.98027,74.52601,6.092726,94.26249,maize
99,39,18,19.20129,68.30579,6.112751,87.85092,maize
66,44,20,19.07815,69.02299,6.740001,80.72516,maize
86,37,16,20.51717,59.21235,5.561511,67.61014,maize
86,55,21,21.54156,59.64024,6.803932,109.7515,maize
80,43,16,23.55882,71.59351,6.657965,66.71995,maize
60,57,24,18.66116,61.55327,6.121294,75.03248,maize
87,48,25,18.65397,61.3788,6.65673,93.62039,maize
75,56,18,19.39852,62.35751,5.696205,60.95197,maize
68,40,19,26.14384,66.2057,6.655426,107.2361,maize
61,60,15,24.87503,68.74248,6.265564,91.26057,maize
77,58,19,22.8056,56.50769,5.79165,101.5953,maize
89,60,19,25.19192,66.69029,5.913665,78.0664,maize
77,36,23,24.71418,56.73426,6.648725,88.45362,maize
73,45,21,24.60532,73.58869,6.636803,96.59195,maize
94,50,19,23.30355,73.62548,5.873242,97.59081,maize
99,36,20,20.57982,65.34584,6.671086,78.34604,maize
61,41,17,25.14206,65.26185,6.021902,76.68456,maize
63,58,22,18.25405,55.2822,6.204748,63.72358,maize
71,60,22,26.0747,59.37148,6.204802,85.75692,maize
98,35,18,23.79746,74.82914,6.252798,91.76337,maize
81,45,23,19.32666,68.03449,6.19236,84.22969,maize
65,60,22,25.36768,72.52055,6.606984,107.9124,maize
100,48,16,25.71896,67.22191,5.549902,74.51491,maize
83,57,19,25.73044,70.74739,6.877869,98.73771,maize
92,60,23,18.66747,71.51647,5.721667,69.93293,maize
87,54,20,25.61707,63.47118,6.576418,108.8304,maize
61,38,20,18.47891,62.69504,5.970458,65.43835,maize
71,52,18,25.10787,55.97733,5.79077,78.16078,maize
74,56,22,18.28362,66.65953,6.829199,80.97573,maize
60,54,19,18.74827,62.49878,6.41782,70.23402,maize
63,35,16,22.02721,65.3555,6.272418,83.7328,maize
78,37,22,25.34217,63.31802,6.330554,74.52082,maize
70,47,17,24.61291,70.41624,6.600827,104.1626,maize
74,58,18,20.03728,56.35607,6.727303,109.0241,maize
70,44,19,23.31689,73.45415,5.852607,94.29713,maize
99,38,21,22.88331,71.59722,6.352472,67.72777,maize
96,46,22,20.58314,69.00129,6.499936,66.2939,maize
67,51,24,23.50298,61.32026,5.584171,64.77791,maize
99,50,15,18.1471,71.09445,5.573286,88.07754,maize
84,57,25,22.53511,67.99257,6.48904,64.40866,maize
63,42,21,23.26238,72.33126,5.798424,67.10225,maize
68,41,16,21.77689,57.80841,6.158831,102.0862,maize
93,41,17,25.62172,66.50415,6.047907,105.4655,maize
60,46,22,24.89365,65.61419,6.625404,87.92981,maize
92,44,16,18.87751,65.76816,6.082974,94.76189,maize
76,39,24,24.25475,55.6471,6.995844,64.23845,maize
73,58,21,19.97216,57.68273,6.596061,60.65171,maize
76,51,18,26.16986,71.96247,6.24704,79.84925,maize
77,57,21,24.93216,73.80435,6.550564,79.74079,maize
89,60,17,25.37549,57.21026,5.983953,101.7004,maize
63,43,19,18.51817,55.53128,6.641906,90.98805,maize
94,54,17,23.39128,61.74427,5.871648,107.3198,maize
79,51,16,25.33798,68.49836,6.586245,96.4638,maize
78,48,22,23.08975,63.1046,5.588651,70.43474,maize
95,38,22,19.84939,61.245,5.730617,100.7689,maize
75,49,15,21.53574,71.50906,5.918264,102.4853,maize
90,57,24,18.92852,72.80086,6.15886,82.34163,maize
86,36,24,26.54986,72.89187,5.787268,73.33636,maize
61,59,17,23.33845,59.24581,6.474443,105.0083,maize
96,54,22,25.70197,61.3345,6.960358,83.20711,maize
67,60,25,24.92162,66.78627,5.750255,109.2162,maize
87,35,25,21.44527,63.16216,6.178056,65.88951,maize
99,56,17,24.10859,73.13112,6.23433,71.07562,maize
62,48,20,21.70181,60.47471,6.708447,95.71388,maize
62,52,16,22.27527,58.84016,6.967058,63.87021,maize
91,55,15,18.093,72.61024,6.376651,78.9616,maize
77,52,17,24.86375,65.742,5.7148,75.8227,maize
76,48,18,19.29563,69.63481,5.775978,83.21031,maize
24,128,196,22.75089,90.69489,5.521467,110.4318,apple
23,138,195,22.49095,91.70293,5.795986,124.3915,apple
18,125,203,22.44308,91.59234,6.160267,102.5566,apple
35,131,203,22.42776,93.91722,5.893491,102.7231,apple
31,130,198,21.8013,92.73447,5.554824,120.0587,apple
27,139,205,22.48403,93.40819,5.77218,105.5474,apple
37,126,196,23.59997,90.97598,5.596449,107.1728,apple
13,144,197,22.92157,94.89613,6.280223,105.6942,apple
35,145,195,22.03912,94.58076,6.23195,110.9804,apple
35,142,203,21.17089,90.2373,5.895319,123.6495,apple
30,127,204,22.5005,92.45878,6.126437,100.9344,apple
25,132,198,22.31944,90.85174,5.732758,100.1173,apple
10,125,196,22.31254,90.03577,5.730557,113.0688,apple
31,137,196,22.14464,93.82567,6.400321,120.6311,apple
20,139,202,23.50201,92.21084,5.669991,107.9869,apple
0,145,205,21.22503,90.09878,5.520783,113.976,apple
29,145,205,22.81228,92.12992,6.212303,109.3384,apple
10,140,197,22.16939,90.27186,6.229499,124.4683,apple
7,144,195,22.96388,93.58066,5.856481,104.6473,apple
12,129,205,22.36238,91.15762,6.119432,118.6833,apple
7,141,195,23.88125,93.45068,5.514253,104.9117,apple
2,131,199,22.47421,91.2276,6.01737,124.218,apple
29,139,205,23.64142,93.74461,6.155939,116.6912,apple
26,126,195,21.41364,92.99125,5.878569,118.3979,apple
22,144,196,21.91191,91.68748,6.499227,117.0761,apple
13,126,204,23.10943,92.79631,6.38318,108.1838,apple
8,120,201,21.18667,91.13436,6.321152,122.2333,apple
14,139,197,21.72485,92.83976,6.05653,121.6962,apple
11,143,197,22.98459,93.32045,5.875719,122.1952,apple
6,124,200,22.98208,93.84505,5.971332,109.5852,apple
28,130,196,22.13451,94.67696,6.062356,112.9203,apple
33,138,198,22.29423,90.69034,6.222391,122.7419,apple
27,138,201,23.66682,93.90191,5.952368,105.4005,apple
29,132,204,23.08951,90.22507,6.096753,108.2167,apple
35,128,205,21.07273,93.56586,6.041054,107.8737,apple
33,134,205,21.03653,94.3392,6.085519,114.7413,apple
2,120,203,23.12653,94.71203,5.893493,108.6212,apple
26,121,201,22.19109,90.02575,6.162034,112.3127,apple
35,138,200,21.1991,90.80819,5.671306,103.6839,apple
6,144,198,21.11479,90.31529,5.559364,104.5087,apple
29,138,197,22.19055,92.43764,5.830892,121.6623,apple
16,143,197,22.61712,93.51978,5.904026,116.9257,apple
15,133,199,23.99686,91.61002,5.824779,117.6103,apple
9,143,197,23.75033,92.8816,5.570021,117.6603,apple
32,137,204,22.86007,93.1286,5.824152,117.7297,apple
32,145,203,23.83054,90.84422,6.406819,109.5967,apple
40,136,202,22.85267,94.57646,5.935336,117.5314,apple
21,135,198,23.86087,94.92048,5.765015,105.0241,apple
21,137,196,23.61192,91.70294,5.812782,123.5901,apple
0,123,205,22.02775,92.96129,5.790993,121.1349,apple
0,133,200,23.67288,90.49356,5.708419,104.2298,apple
37,137,199,22.63946,90.18452,5.697946,108.3406,apple
17,136,196,23.87192,90.49939,5.882156,103.0548,apple
2,129,201,22.78234,94.36804,5.682344,122.145,apple
7,144,197,23.8494,94.34815,6.133221,114.0512,apple
14,128,205,22.60801,94.58901,6.22629,116.0397,apple
19,122,202,23.34467,90.37981,5.811975,112.8954,apple
10,141,201,22.12659,90.97818,6.386021,104.5412,apple
16,143,204,23.71475,91.53331,5.631333,121.8962,apple
9,139,199,23.25231,94.54128,5.867421,105.3558,apple
1,124,199,23.71059,93.27392,5.658474,112.6677,apple
20,129,201,23.41045,91.69913,5.587906,116.0778,apple
1,135,203,22.77857,92.70124,5.624203,113.7759,apple
13,121,196,22.20701,93.50574,6.443383,120.1594,apple
29,121,196,22.84853,94.3213,6.079497,123.5978,apple
24,142,202,22.5378,91.48136,5.71082,101.8475,apple
14,140,197,23.35225,90.90055,6.071255,113.0381,apple
5,144,205,21.42177,92.62665,6.184923,102.8046,apple
29,144,204,22.43325,92.48668,5.800449,119.1025,apple
15,123,204,22.52709,92.5478,6.365973,115.383,apple
2,140,197,22.6978,92.82223,5.534567,105.0508,apple
29,128,198,22.44075,92.70785,5.685062,121.4977,apple
5,136,195,22.35629,91.9236,6.264203,107.7697,apple
28,123,198,23.4626,91.45665,5.682751,111.7763,apple
34,140,198,21.70417,93.44006,5.751707,115.1781,apple
26,122,202,22.44517,94.73764,5.617227,107.1843,apple
31,121,201,23.15791,90.34397,5.731535,110.7128,apple
36,144,196,23.65168,94.50529,6.496934,115.3611,apple
36,140,198,23.34386,91.47685,6.281884,104.4268,apple
30,122,197,21.37785,92.72044,5.573241,106.1417,apple
3,49,18,27.91095,64.70931,3.692864,32.67892,mothbeans
11,45,19,28.70012,44.35965,3.828031,44.11622,mothbeans
40,49,17,31.02216,45.89239,6.687275,53.56783,mothbeans
9,59,25,30.39321,60.16299,7.699201,35.37493,mothbeans
4,43,18,29.02955,61.09387,8.840656,72.98017,mothbeans
36,57,16,28.61409,57.14219,8.292876,57.02892,mothbeans
25,57,24,27.65472,58.59986,6.974978,36.94255,mothbeans
9,49,16,30.88483,41.36562,7.661537,55.05381,mothbeans
5,35,20,28.92953,53.57015,9.679241,66.35634,mothbeans
9,51,19,27.04453,49.3261,5.490911,48.25208,mothbeans
36,43,24,27.09401,43.65305,3.510404,41.5375,mothbeans
22,43,24,25.42517,53.22083,4.523636,46.19375,mothbeans
6,36,22,24.2161,59.79236,8.869533,42.24783,mothbeans
2,56,23,26.65333,59.79023,7.550091,36.91853,mothbeans
25,51,24,25.50424,61.66852,9.392695,65.07982,mothbeans
35,52,15,28.69841,61.14754,9.935091,65.67592,mothbeans
11,41,19,26.85911,41.81421,5.131779,44.13827,mothbeans
3,56,17,28.19912,53.50568,8.709292,52.13581,mothbeans
32,48,18,26.45708,56.40226,5.993514,64.16168,mothbeans
36,44,21,25.12529,51.33189,4.516154,38.48679,mothbeans
21,39,20,27.0618,52.30032,7.388007,60.74583,mothbeans
32,43,22,31.99929,54.10775,5.270749,71.62667,mothbeans
15,54,15,29.97604,57.03184,8.354958,44.86053,mothbeans
23,58,19,24.17093,58.25205,5.243635,59.18953,mothbeans
24,38,22,24.47876,58.51664,8.202706,34.96933,mothbeans
22,51,16,27.96584,61.349,8.639586,70.10472,mothbeans
22,55,24,28.56801,57.30636,8.66078,64.53028,mothbeans
14,58,17,30.53684,59.96665,4.605701,33.48919,mothbeans
14,55,15,27.33581,55.27756,8.050304,73.44775,mothbeans
31,35,23,30.3026,47.18284,7.707595,68.0404,mothbeans
22,44,24,24.30935,56.32938,6.030447,58.99536,mothbeans
15,45,23,24.20423,61.43379,7.224194,46.0204,mothbeans
18,36,23,24.01825,53.76623,7.214079,35.03404,mothbeans
26,50,19,27.31791,51.66921,6.005243,32.5592,mothbeans
7,45,22,25.50635,44.83026,9.926212,74.32635,mothbeans
0,55,25,28.17489,43.66723,4.524172,45.78173,mothbeans
38,56,25,25.74095,45.38497,7.881186,67.43488,mothbeans
22,49,22,28.23495,61.56205,3.711059,72.66666,mothbeans
17,43,22,30.06143,45.90068,5.498341,41.05509,mothbeans
35,51,17,28.79929,49.84213,3.558823,40.85535,mothbeans
36,56,20,25.41238,49.66474,7.437078,31.87417,mothbeans
23,45,21,31.46511,51.79939,8.985348,74.44331,mothbeans
29,44,20,30.04132,63.56223,8.620108,31.83192,mothbeans
10,44,24,30.99257,43.02151,8.034413,58.27601,mothbeans
30,41,15,24.83207,44.17085,5.885097,52.08109,mothbeans
40,45,18,30.43684,55.20522,5.261286,30.92014,mothbeans
4,47,20,25.97949,64.95585,4.193189,72.19246,mothbeans
17,56,17,27.94294,45.41394,5.956585,69.6629,mothbeans
11,44,17,26.34043,55.5916,8.016211,35.10512,mothbeans
26,52,23,29.98835,49.60385,4.931891,52.9293,mothbeans
